julian,precip_mm,unb_swe,brn_swe,unb_melt,brn_melt,unb_frostdp,brn_frostdp,unb_saturation,brn_saturation,unb_runoff,brn_runoff
155,0.00,0.0,0.0,0.0,0.0,0,0,0.620,0.370,0.0000,0.0000
156,0.00,0.0,0.0,0.0,0.0,0,0,0.610,0.360,0.0000,0.0000
157,0.00,0.0,0.0,0.0,0.0,0,0,0.600,0.350,0.0000,0.0000
158,0.00,0.0,0.0,0.0,0.0,0,5,0.590,0.350,0.0000,0.0000
159,0.00,0.0,0.0,0.0,0.0,0,0,0.570,0.340,0.0000,0.0000
160,0.00,0.0,0.0,0.0,0.0,0,0,0.560,0.340,0.0000,0.0000
161,0.00,0.0,0.0,0.0,0.0,0,0,0.540,0.340,0.0000,0.0000
162,0.00,0.0,0.0,0.0,0.0,0,0,0.520,0.340,0.0000,0.0000
163,0.00,0.0,0.0,0.0,0.0,0,0,0.510,0.340,0.0000,0.0000
164,4.60,0.0,0.0,0.0,0.0,0,0,0.580,0.370,0.0000,0.0000
165,0.00,0.0,0.0,0.0,0.0,0,0,0.570,0.360,0.0000,0.0000
166,13.20,0.0,0.0,0.0,0.0,0,0,0.740,0.500,0.0000,0.0000
167,32.80,0.0,0.0,0.0,0.0,0,0,0.980,0.840,0.0000,0.0000
168,24.60,0.0,0.0,0.0,0.0,0,0,1.000,0.960,7.4452,0.0000
169,0.00,0.0,0.0,0.0,0.0,0,0,0.780,0.740,0.0000,0.0000
170,5.80,0.0,0.0,0.0,0.0,0,0,0.780,0.720,0.0000,0.0000
171,0.00,0.0,0.0,0.0,0.0,0,0,0.700,0.640,0.0000,0.0000
172,0.00,0.0,0.0,0.0,0.0,0,0,0.670,0.590,0.0000,0.0000
173,0.00,0.0,0.0,0.0,0.0,0,0,0.650,0.540,0.0000,0.0000
174,0.00,0.0,0.0,0.0,0.0,0,0,0.630,0.490,0.0000,0.0000
175,0.00,0.0,0.0,0.0,0.0,0,0,0.610,0.430,0.0000,0.0000
176,0.00,0.0,0.0,0.0,0.0,0,0,0.590,0.380,0.0000,0.0000
