High,High,High,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Low,Low,Undisturbed,Undisturbed,Undisturbed,Undisturbed
0.83142,0.95000,0.95000,0.95000,0.97779,0.99000,0.99000,0.99000,0.99990,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.87252,0.95000,0.95000,0.95000,0.98365,0.99000,0.99000,0.99000,0.99996,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.90069,0.95000,0.95000,0.95000,0.98672,0.99000,0.99000,0.99000,0.99999,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.91917,0.95000,0.95000,0.95000,0.98831,0.99000,0.99000,0.99000,0.99999,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.93095,0.95000,0.95000,0.95000,0.98913,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.93831,0.95000,0.95000,0.95000,0.98955,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.94286,0.95000,0.95000,0.95000,0.98977,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.94565,0.95000,0.95000,0.95000,0.98988,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.94735,0.95000,0.95000,0.95000,0.98994,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.94839,0.95000,0.95000,0.95000,0.98997,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.94902,0.95000,0.95000,0.95000,0.98998,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.94941,0.95000,0.95000,0.95000,0.98999,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.94964,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.94978,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.94987,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.94992,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.94995,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.94997,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.94998,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.94999,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.94999,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.95000,0.95000,0.95000,0.95000,0.99000,0.99000,0.99000,0.99000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
