Date,Streamflow (mm)
08/30/1986,0.42723843
08/31/1986,0.42723843
09/01/1986,0.41939920
09/02/1986,0.39980110
09/03/1986,0.39196187
09/04/1986,0.39039402
09/05/1986,0.38412263
09/06/1986,0.37745928
09/07/1986,0.37549947
09/08/1986,0.37941909
09/09/1986,0.44291691
09/10/1986,0.43899729
09/11/1986,0.41939920
09/12/1986,0.39156991
09/13/1986,0.38961010
09/14/1986,0.39980110
09/15/1986,0.54874661
09/16/1986,0.64281746
09/17/1986,0.88975344
09/18/1986,1.12101094
09/19/1986,0.62713899
09/20/1986,0.87407496
09/21/1986,0.63889784
09/22/1986,0.53306814
09/23/1986,0.88191420
09/24/1986,2.97891019
09/25/1986,5.33068139
09/26/1986,9.60306574
09/27/1986,5.72264326
09/28/1986,3.50021947
09/29/1986,2.62222489
09/30/1986,2.33217311
10/01/1986,1.92061315
10/02/1986,1.60704365
10/03/1986,1.37186653
10/04/1986,1.21508179
10/05/1986,1.09749323
10/06/1986,0.97990467
10/07/1986,0.90151229
10/08/1986,0.82311992
10/09/1986,0.78392373
10/10/1986,0.74472755
10/11/1986,0.70553136
10/12/1986,0.66633517
10/13/1986,0.62713899
10/14/1986,0.62713899
10/15/1986,0.58794280
10/16/1986,0.58794280
10/17/1986,0.58794280
10/18/1986,0.58794280
10/19/1986,0.54874661
10/20/1986,0.54874661
10/21/1986,0.50955043
10/22/1986,0.50955043
10/23/1986,0.50955043
10/24/1986,0.50955043
10/25/1986,0.50955043
10/26/1986,0.54874661
10/27/1986,1.37186653
10/28/1986,1.01910085
10/29/1986,0.94070848
10/30/1986,2.62614451
10/31/1986,4.70354240
11/01/1986,3.13569494
11/02/1986,2.19498645
11/03/1986,1.76382840
11/04/1986,1.48945509
11/05/1986,1.33267035
11/06/1986,1.48945509
11/07/1986,2.66534069
11/08/1986,2.78292925
11/09/1986,4.03720723
11/10/1986,4.42916910
11/11/1986,3.33167587
11/12/1986,2.86132163
11/13/1986,2.62614451
11/14/1986,3.33167587
11/15/1986,2.74373307
11/16/1986,2.93971400
11/17/1986,8.97592675
11/18/1986,9.21110387
11/19/1986,12.73876067
11/20/1986,13.36589966
11/21/1986,20.26442852
11/22/1986,24.92877473
11/23/1986,22.53780735
11/24/1986,20.42121326
11/25/1986,15.28651281
11/26/1986,14.77696238
11/27/1986,28.84839340
11/28/1986,32.96399300
11/29/1986,19.95085902
11/30/1986,13.32670347
12/01/1986,9.75985049
12/02/1986,7.56486403
12/03/1986,6.15380131
12/04/1986,5.33068139
12/05/1986,4.74273859
12/06/1986,4.15479579
12/07/1986,3.64524536
12/08/1986,3.25328350
12/09/1986,2.93971400
12/10/1986,2.70453688
12/11/1986,2.50855595
12/12/1986,2.58694832
12/13/1986,3.25328350
12/14/1986,3.80203011
12/15/1986,3.29247968
12/16/1986,2.93971400
12/17/1986,2.70453688
12/18/1986,2.58694832
12/19/1986,2.54775213
12/20/1986,2.35177120
12/21/1986,2.23418264
12/22/1986,2.39096739
12/23/1986,3.48846062
12/24/1986,3.33167587
12/25/1986,3.21408731
12/26/1986,4.38997291
12/27/1986,4.11559960
12/28/1986,3.64524536
12/29/1986,3.84122630
12/30/1986,4.07640342
12/31/1986,3.84122630
01/01/1987,8.42718014
01/02/1987,9.60306574
01/03/1987,10.15181235
01/04/1987,9.05431912
01/05/1987,7.25129454
01/06/1987,5.91862419
01/07/1987,5.01711190
01/08/1987,4.31158054
01/09/1987,3.84122630
01/10/1987,3.41006824
01/11/1987,3.17489112
01/12/1987,3.25328350
01/13/1987,3.17489112
01/14/1987,3.17489112
01/15/1987,2.90051781
01/16/1987,2.66534069
01/17/1987,2.46935976
01/18/1987,2.35177120
01/19/1987,2.23418264
01/20/1987,2.11659408
01/21/1987,2.03820171
01/22/1987,2.03820171
01/23/1987,2.23418264
01/24/1987,5.60505470
01/25/1987,12.03322931
01/26/1987,16.30561366
01/27/1987,14.26741195
01/28/1987,12.58197593
01/29/1987,10.34779329
01/30/1987,8.62316107
01/31/1987,14.50258907
02/01/1987,23.12575015
02/02/1987,21.91066836
02/03/1987,15.83525942
02/04/1987,11.64126745
02/05/1987,9.13271150
02/06/1987,7.72164878
02/07/1987,6.93772504
02/08/1987,6.27138987
02/09/1987,5.80103563
02/10/1987,5.40907376
02/11/1987,5.56585851
02/12/1987,5.09550427
02/13/1987,7.21209835
02/14/1987,7.80004115
02/15/1987,7.25129454
02/16/1987,7.29049072
02/17/1987,7.56486403
02/18/1987,7.09450979
02/19/1987,6.19299750
02/20/1987,5.48746614
02/21/1987,4.86032715
02/22/1987,4.42916910
02/23/1987,4.11559960
02/24/1987,3.72363774
02/25/1987,3.37087206
02/26/1987,3.09649875
02/27/1987,2.90051781
02/28/1987,2.70453688
03/01/1987,2.54775213
03/02/1987,2.62614451
03/03/1987,2.78292925
03/04/1987,3.29247968
03/05/1987,3.95881486
03/06/1987,4.82113096
03/07/1987,4.31158054
03/08/1987,3.95881486
03/09/1987,3.91961867
03/10/1987,3.80203011
03/11/1987,4.23318816
03/12/1987,7.72164878
03/13/1987,10.58297041
03/14/1987,10.85734371
03/15/1987,9.56386955
03/16/1987,7.68245259
03/17/1987,7.40807928
03/18/1987,7.32968691
03/19/1987,6.70254792
03/20/1987,5.95782038
03/21/1987,5.33068139
03/22/1987,4.70354240
03/23/1987,4.89952334
03/24/1987,4.66434622
03/25/1987,4.38997291
03/26/1987,4.07640342
03/27/1987,3.76283392
03/28/1987,3.44926443
03/29/1987,3.21408731
03/30/1987,3.01810637
03/31/1987,2.97891019
04/01/1987,3.17489112
04/02/1987,3.44926443
04/03/1987,3.60604918
04/04/1987,3.37087206
04/05/1987,3.17489112
04/06/1987,3.29247968
04/07/1987,3.21408731
04/08/1987,4.31158054
04/09/1987,3.76283392
04/10/1987,3.68444155
04/11/1987,3.88042248
04/12/1987,3.60604918
04/13/1987,3.33167587
04/14/1987,3.13569494
04/15/1987,3.09649875
04/16/1987,3.13569494
04/17/1987,3.17489112
04/18/1987,2.97891019
04/19/1987,2.62614451
04/20/1987,2.46935976
04/21/1987,2.43016357
04/22/1987,2.54775213
04/23/1987,2.62614451
04/24/1987,2.50855595
04/25/1987,2.35177120
04/26/1987,2.23418264
04/27/1987,2.35177120
04/28/1987,2.43016357
04/29/1987,2.15579027
04/30/1987,2.11659408
05/01/1987,2.23418264
05/02/1987,2.39096739
05/03/1987,3.25328350
05/04/1987,2.66534069
05/05/1987,2.35177120
05/06/1987,2.19498645
05/07/1987,2.03820171
05/08/1987,1.88141696
05/09/1987,1.76382840
05/10/1987,1.60704365
05/11/1987,1.52865128
05/12/1987,1.92061315
05/13/1987,1.72463221
05/14/1987,1.56784747
05/15/1987,1.45025891
05/16/1987,1.37186653
05/17/1987,1.29347416
05/18/1987,1.25427797
05/19/1987,1.21508179
05/20/1987,1.17588560
05/21/1987,1.09749323
05/22/1987,1.09749323
05/23/1987,1.05829704
05/24/1987,1.05829704
05/25/1987,1.21508179
05/26/1987,1.09749323
05/27/1987,1.05829704
05/28/1987,1.01910085
05/29/1987,0.97990467
05/30/1987,1.09749323
05/31/1987,1.88141696
06/01/1987,1.72463221
06/02/1987,1.41106272
06/03/1987,1.25427797
06/04/1987,1.13668941
06/05/1987,1.09749323
06/06/1987,1.05829704
06/07/1987,1.01910085
06/08/1987,0.97990467
06/09/1987,0.94070848
06/10/1987,0.90151229
06/11/1987,0.86231611
06/12/1987,0.86231611
06/13/1987,0.82311992
06/14/1987,0.82311992
06/15/1987,0.82311992
06/16/1987,0.82311992
06/17/1987,0.78392373
06/18/1987,0.74472755
06/19/1987,0.74472755
06/20/1987,0.70553136
06/21/1987,0.82311992
06/22/1987,0.74472755
06/23/1987,0.70553136
06/24/1987,0.66633517
06/25/1987,0.66633517
06/26/1987,0.62713899
06/27/1987,0.62713899
06/28/1987,0.62713899
06/29/1987,0.58794280
06/30/1987,0.58794280
07/01/1987,0.58794280
07/02/1987,0.58794280
07/03/1987,0.58794280
07/04/1987,0.58794280
07/05/1987,0.58794280
07/06/1987,0.54874661
07/07/1987,0.54874661
07/08/1987,0.54874661
07/09/1987,0.54874661
07/10/1987,0.54874661
07/11/1987,0.54874661
07/12/1987,0.50955043
07/13/1987,0.50955043
07/14/1987,0.50955043
07/15/1987,0.50955043
07/16/1987,0.47035424
07/17/1987,0.50955043
07/18/1987,1.72463221
07/19/1987,1.29347416
07/20/1987,0.94070848
07/21/1987,0.78392373
07/22/1987,1.09749323
07/23/1987,0.86231611
07/24/1987,0.78392373
07/25/1987,0.70553136
07/26/1987,0.66633517
07/27/1987,0.62713899
07/28/1987,0.62713899
07/29/1987,0.58794280
07/30/1987,0.58794280
07/31/1987,0.54874661
08/01/1987,0.54874661
08/02/1987,0.54874661
08/03/1987,0.50955043
08/04/1987,0.50955043
08/05/1987,0.50955043
08/06/1987,0.50955043
08/07/1987,0.50955043
08/08/1987,0.47035424
08/09/1987,0.47035424
08/10/1987,0.47035424
08/11/1987,0.47035424
08/12/1987,0.47035424
08/13/1987,0.47035424
08/14/1987,0.47035424
08/15/1987,0.47035424
08/16/1987,0.47035424
08/17/1987,0.47035424
08/18/1987,0.43115805
08/19/1987,0.43115805
08/20/1987,0.43115805
08/21/1987,0.43115805
08/22/1987,0.43115805
08/23/1987,0.43115805
08/24/1987,0.43115805
08/25/1987,0.37236377
08/26/1987,0.35276568
08/27/1987,0.33708721
08/28/1987,0.33316759
08/29/1987,0.32532835
08/30/1987,0.31356949
08/31/1987,0.30573026
09/01/1987,0.30573026
09/02/1987,0.29397140
09/03/1987,0.28221254
09/04/1987,0.27045369
09/05/1987,0.26261445
09/06/1987,0.25869483
09/07/1987,0.25869483
09/08/1987,0.26261445
09/09/1987,0.26261445
09/10/1987,0.25869483
09/11/1987,0.25869483
09/12/1987,0.26653407
09/13/1987,0.27437331
09/14/1987,0.27437331
09/15/1987,0.33316759
09/16/1987,0.30181064
09/17/1987,0.27829293
09/18/1987,0.27045369
09/19/1987,0.26261445
09/20/1987,0.25869483
09/21/1987,0.25477521
09/22/1987,0.24301636
09/23/1987,0.23517712
09/24/1987,0.23909674
09/25/1987,0.25085559
09/26/1987,0.28613216
09/27/1987,0.26653407
09/28/1987,0.25477521
09/29/1987,0.24693598
09/30/1987,0.23909674
10/01/1987,0.23909674
10/02/1987,0.23517712
10/03/1987,0.23125750
10/04/1987,0.23125750
10/05/1987,0.23125750
10/06/1987,0.22733788
10/07/1987,0.22341826
10/08/1987,0.21949865
10/09/1987,0.21949865
10/10/1987,0.21557903
10/11/1987,0.21557903
10/12/1987,0.21557903
10/13/1987,0.21557903
10/14/1987,0.21165941
10/15/1987,0.20773979
10/16/1987,0.20773979
10/17/1987,0.20773979
10/18/1987,0.20773979
10/19/1987,0.20773979
10/20/1987,0.20382017
10/21/1987,0.20382017
10/22/1987,0.20382017
10/23/1987,0.20382017
10/24/1987,0.20382017
10/25/1987,0.20382017
10/26/1987,0.20382017
10/27/1987,0.20382017
10/28/1987,0.19990055
10/29/1987,0.20382017
10/30/1987,0.20382017
10/31/1987,0.22733788
11/01/1987,0.25085559
11/02/1987,0.28221254
11/03/1987,0.22341826
11/04/1987,0.21165941
11/05/1987,0.20773979
11/06/1987,0.20382017
11/07/1987,0.20382017
11/08/1987,0.20382017
11/09/1987,0.21165941
11/10/1987,0.20773979
11/11/1987,0.24301636
11/12/1987,0.58794280
11/13/1987,1.17588560
11/14/1987,0.74472755
11/15/1987,0.43115805
11/16/1987,0.66633517
11/17/1987,0.50955043
11/18/1987,0.39196187
11/19/1987,0.33708721
11/20/1987,0.30573026
11/21/1987,0.34100682
11/22/1987,0.43115805
11/23/1987,0.74472755
11/24/1987,1.01910085
11/25/1987,1.09749323
11/26/1987,0.62713899
11/27/1987,0.50955043
11/28/1987,0.43115805
11/29/1987,0.38020301
11/30/1987,0.38804225
12/01/1987,3.64524536
12/02/1987,6.23219368
12/03/1987,10.15181235
12/04/1987,7.87843352
12/05/1987,5.29148520
12/06/1987,4.50756147
12/07/1987,4.11559960
12/08/1987,3.60604918
12/09/1987,24.61520524
12/10/1987,30.49463324
12/11/1987,15.24731662
12/12/1987,9.48547718
12/13/1987,6.70254792
12/14/1987,5.17389664
12/15/1987,4.23318816
12/16/1987,3.52765680
12/17/1987,2.97891019
12/18/1987,2.58694832
12/19/1987,2.31257501
12/20/1987,2.19498645
12/21/1987,3.29247968
12/22/1987,3.60604918
12/23/1987,3.05730256
12/24/1987,2.62614451
12/25/1987,2.39096739
12/26/1987,2.19498645
12/27/1987,2.07739789
12/28/1987,1.95980933
12/29/1987,1.88141696
12/30/1987,1.84222077
12/31/1987,1.80302459
01/01/1988,1.72463221
01/02/1988,1.64623984
01/03/1988,1.60704365
01/04/1988,1.52865128
01/05/1988,1.45025891
01/06/1988,1.45025891
01/07/1988,1.45025891
01/08/1988,2.19498645
01/09/1988,12.54277974
01/10/1988,36.72682693
01/11/1988,22.69459209
01/12/1988,13.44429203
01/13/1988,10.62216659
01/14/1988,21.04835225
01/15/1988,19.91166284
01/16/1988,13.67946915
01/17/1988,10.03422379
01/18/1988,7.76084496
01/19/1988,6.19299750
01/20/1988,5.36987758
01/21/1988,4.78193478
01/22/1988,4.31158054
01/23/1988,4.07640342
01/24/1988,3.80203011
01/25/1988,3.56685299
01/26/1988,3.72363774
01/27/1988,4.42916910
01/28/1988,5.40907376
01/29/1988,8.38798395
01/30/1988,9.60306574
01/31/1988,7.68245259
02/01/1988,6.31058606
02/02/1988,5.29148520
02/03/1988,4.58595384
02/04/1988,4.11559960
02/05/1988,3.68444155
02/06/1988,3.37087206
02/07/1988,3.17489112
02/08/1988,5.40907376
02/09/1988,11.95483694
02/10/1988,13.64027297
02/11/1988,11.09252083
02/12/1988,9.21110387
02/13/1988,8.27039539
02/14/1988,7.09450979
02/15/1988,6.62415555
02/16/1988,5.84023182
02/17/1988,5.25228902
02/18/1988,4.78193478
02/19/1988,4.35077672
02/20/1988,4.11559960
02/21/1988,3.99801104
02/22/1988,3.88042248
02/23/1988,3.68444155
02/24/1988,3.48846062
02/25/1988,3.41006824
02/26/1988,3.56685299
02/27/1988,3.80203011
02/28/1988,4.07640342
02/29/1988,4.38997291
03/01/1988,4.15479579
03/02/1988,3.84122630
03/03/1988,4.35077672
03/04/1988,5.84023182
03/05/1988,7.09450979
03/06/1988,7.60406022
03/07/1988,6.50656699
03/08/1988,6.03621275
03/09/1988,7.36888310
03/10/1988,6.78094030
03/11/1988,5.76183944
03/12/1988,5.05630808
03/13/1988,4.46836528
03/14/1988,4.11559960
03/15/1988,3.80203011
03/16/1988,3.52765680
03/17/1988,3.25328350
03/18/1988,3.09649875
03/19/1988,3.05730256
03/20/1988,3.05730256
03/21/1988,3.44926443
03/22/1988,3.44926443
03/23/1988,6.54576318
03/24/1988,6.50656699
03/25/1988,10.77895134
03/26/1988,13.56188059
03/27/1988,13.20911491
03/28/1988,9.95583142
03/29/1988,8.38798395
03/30/1988,7.32968691
03/31/1988,6.42817462
04/01/1988,6.11460512
04/02/1988,8.03521827
04/03/1988,15.09053187
04/04/1988,13.09152635
04/05/1988,10.46538185
04/06/1988,9.72065430
04/07/1988,8.66235726
04/08/1988,7.25129454
04/09/1988,6.38897843
04/10/1988,5.91862419
04/11/1988,5.84023182
04/12/1988,5.87942800
04/13/1988,5.68344707
04/14/1988,5.48746614
04/15/1988,4.86032715
04/16/1988,4.54675766
04/17/1988,4.15479579
04/18/1988,3.80203011
04/19/1988,3.76283392
04/20/1988,4.27238435
04/21/1988,6.54576318
04/22/1988,6.54576318
04/23/1988,5.56585851
04/24/1988,4.86032715
04/25/1988,4.35077672
04/26/1988,4.03720723
04/27/1988,4.15479579
04/28/1988,4.78193478
04/29/1988,7.32968691
04/30/1988,7.48647166
05/01/1988,6.93772504
05/02/1988,6.85933267
05/03/1988,7.40807928
05/04/1988,7.13370598
05/05/1988,6.54576318
05/06/1988,6.07540894
05/07/1988,6.19299750
05/08/1988,6.15380131
05/09/1988,5.99701656
05/10/1988,6.19299750
05/11/1988,6.74174411
05/12/1988,6.50656699
05/13/1988,6.54576318
05/14/1988,6.58495936
05/15/1988,5.72264326
05/16/1988,5.60505470
05/17/1988,5.09550427
05/18/1988,4.58595384
05/19/1988,4.11559960
05/20/1988,3.80203011
05/21/1988,3.56685299
05/22/1988,3.33167587
05/23/1988,3.05730256
05/24/1988,2.82212544
05/25/1988,2.58694832
05/26/1988,2.46935976
05/27/1988,2.39096739
05/28/1988,3.05730256
05/29/1988,3.21408731
05/30/1988,3.05730256
05/31/1988,3.33167587
06/01/1988,10.03422379
06/02/1988,8.50557251
06/03/1988,8.34878776
06/04/1988,7.44727547
06/05/1988,6.31058606
06/06/1988,5.44826995
06/07/1988,5.05630808
06/08/1988,4.50756147
06/09/1988,4.15479579
06/10/1988,4.07640342
06/11/1988,3.64524536
06/12/1988,3.33167587
06/13/1988,3.05730256
06/14/1988,2.78292925
06/15/1988,2.58694832
06/16/1988,2.43016357
06/17/1988,2.31257501
06/18/1988,2.23418264
06/19/1988,2.11659408
06/20/1988,1.99900552
06/21/1988,1.88141696
06/22/1988,1.80302459
06/23/1988,1.72463221
06/24/1988,1.64623984
06/25/1988,1.60704365
06/26/1988,1.52865128
06/27/1988,1.48945509
06/28/1988,1.45025891
06/29/1988,1.48945509
06/30/1988,1.37186653
07/01/1988,1.29347416
07/02/1988,1.29347416
07/03/1988,1.29347416
07/04/1988,1.21508179
07/05/1988,1.17588560
07/06/1988,1.13668941
07/07/1988,1.13668941
07/08/1988,1.09749323
07/09/1988,1.05829704
07/10/1988,1.01910085
07/11/1988,0.97990467
07/12/1988,0.94070848
07/13/1988,0.94070848
07/14/1988,0.94070848
07/15/1988,0.90151229
07/16/1988,0.86231611
07/17/1988,0.86231611
07/18/1988,0.82311992
07/19/1988,0.78392373
07/20/1988,0.78392373
07/21/1988,0.74472755
07/22/1988,0.74472755
07/23/1988,0.74472755
07/24/1988,0.74472755
07/25/1988,0.70553136
07/26/1988,0.70553136
07/27/1988,0.66633517
07/28/1988,0.66633517
07/29/1988,0.66633517
07/30/1988,0.66633517
07/31/1988,0.62713899
08/01/1988,0.62713899
08/02/1988,0.62713899
08/03/1988,0.58794280
08/04/1988,0.58794280
08/05/1988,0.58794280
08/06/1988,0.54874661
08/07/1988,0.54874661
08/08/1988,0.54874661
08/09/1988,0.50955043
08/10/1988,0.50955043
08/11/1988,0.50955043
08/12/1988,0.50955043
08/13/1988,0.50955043
08/14/1988,0.50955043
08/15/1988,0.50955043
08/16/1988,0.50955043
08/17/1988,0.47035424
08/18/1988,0.47035424
08/19/1988,0.47035424
08/20/1988,0.47035424
08/21/1988,0.43115805
08/22/1988,0.43115805
08/23/1988,0.43115805
08/24/1988,0.39196187
08/25/1988,0.39196187
08/26/1988,0.39196187
08/27/1988,0.39196187
08/28/1988,0.39196187
08/29/1988,0.38804225
08/30/1988,0.38804225
08/31/1988,0.38804225
09/01/1988,0.37236377
09/02/1988,0.36060492
09/03/1988,0.35276568
09/04/1988,0.35276568
09/05/1988,0.35276568
09/06/1988,0.35276568
09/07/1988,0.34884606
09/08/1988,0.34492644
09/09/1988,0.34100682
09/10/1988,0.33708721
09/11/1988,0.33708721
09/12/1988,0.32924797
09/13/1988,0.32924797
09/14/1988,0.32924797
09/15/1988,0.32924797
09/16/1988,0.32924797
09/17/1988,0.33708721
09/18/1988,0.34100682
09/19/1988,0.62713899
09/20/1988,0.47035424
09/21/1988,0.39196187
09/22/1988,0.37236377
09/23/1988,0.36060492
09/24/1988,0.35276568
09/25/1988,0.37236377
09/26/1988,0.50955043
09/27/1988,1.01910085
09/28/1988,0.50955043
09/29/1988,0.43115805
09/30/1988,0.39196187
10/01/1988,0.38020301
10/02/1988,0.37236377
10/03/1988,0.36844415
10/04/1988,0.36844415
10/05/1988,0.38020301
10/06/1988,0.37236377
10/07/1988,0.36452454
10/08/1988,0.36060492
10/09/1988,0.35668530
10/10/1988,0.35276568
10/11/1988,0.34884606
10/12/1988,0.35276568
10/13/1988,0.35276568
10/14/1988,0.36452454
10/15/1988,0.38804225
10/16/1988,0.38412263
10/17/1988,0.36452454
10/18/1988,0.35276568
10/19/1988,0.35276568
10/20/1988,0.35276568
10/21/1988,0.34884606
10/22/1988,0.34492644
10/23/1988,0.33708721
10/24/1988,0.33708721
10/25/1988,0.33708721
10/26/1988,0.32924797
10/27/1988,0.32532835
10/28/1988,0.32532835
10/29/1988,0.32140873
10/30/1988,0.31748911
10/31/1988,0.31748911
11/01/1988,0.39196187
11/02/1988,2.70453688
11/03/1988,4.46836528
11/04/1988,6.03621275
11/05/1988,3.72363774
11/06/1988,5.72264326
11/07/1988,3.48846062
11/08/1988,3.72363774
11/09/1988,3.56685299
11/10/1988,6.03621275
11/11/1988,5.87942800
11/12/1988,8.19200302
11/13/1988,6.74174411
11/14/1988,5.01711190
11/15/1988,5.21309283
11/16/1988,7.56486403
11/17/1988,7.80004115
11/18/1988,6.15380131
11/19/1988,5.44826995
11/20/1988,8.46637632
11/21/1988,19.67648572
11/22/1988,40.76403416
11/23/1988,27.55491924
11/24/1988,15.20812043
11/25/1988,11.13171702
11/26/1988,9.48547718
11/27/1988,12.03322931
11/28/1988,19.59809334
11/29/1988,12.69956449
11/30/1988,9.44628099
12/01/1988,7.83923734
12/02/1988,6.93772504
12/03/1988,6.42817462
12/04/1988,5.99701656
12/05/1988,5.48746614
12/06/1988,6.93772504
12/07/1988,7.09450979
12/08/1988,6.23219368
12/09/1988,5.87942800
