VALUE,COUNT,LU_CODEV7N,LU_CODEV7,TERTIARY_V7,SECONDARY_V7,PRIMARY_V7,CLASSES_18,C18_DESCRIPTION,TOPO_FEATURES,TOPO_FEAT_DESC,CLUM_DATA,CLUM_DATA_DESC,PROT_AREAS,PROT_AREAS_DESC,WH_AREAS,WH_AREAS_DESC,TENURE,TENURE_DESC,FOREST_TYPE,FOREST_TYPE_DESC,VEG_CONDITION,VEG_COND_DESC,COMMODITIES,COMMODITIES_DESC,IRRIGATION,IRRIGATION_DESC
25,1765,133,1.3.3,1.3.3 Residual native cover,1.3 Other minimal use,1 Conservation and natural environments,3,Other minimal use (1.3),0,Not a topographic feature,133,1.3.3 Residual native cover,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,4,Native closed forest,1,No modification of native vegetation,0,Unallocated agricultural land,0,"Dryland agriculture, not ag. or no data"
26,619,133,1.3.3,1.3.3 Residual native cover,1.3 Other minimal use,1 Conservation and natural environments,3,Other minimal use (1.3),0,Not a topographic feature,117,1.1.7 Other conserved area,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,1,No modification of native vegetation,0,Unallocated agricultural land,0,"Dryland agriculture, not ag. or no data"
27,6748,133,1.3.3,1.3.3 Residual native cover,1.3 Other minimal use,1 Conservation and natural environments,3,Other minimal use (1.3),0,Not a topographic feature,130,1.3.0 Other minimal use,0,Not a protected area,0,IUCN management category unassigned or not a WHA,10,Public land - other,2,Native woodland,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
28,77,133,1.3.3,1.3.3 Residual native cover,1.3 Other minimal use,1 Conservation and natural environments,3,Other minimal use (1.3),0,Not a topographic feature,117,1.1.7 Other conserved area,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,4,Native closed forest,1,No modification of native vegetation,0,Unallocated agricultural land,0,"Dryland agriculture, not ag. or no data"
29,28,133,1.3.3,1.3.3 Residual native cover,1.3 Other minimal use,1 Conservation and natural environments,3,Other minimal use (1.3),0,Not a topographic feature,0,Offshore,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,0,Offshore,0,Unallocated agricultural land,0,"Dryland agriculture, not ag. or no data"
30,167,553,5.5.3,5.5.3 Recreation and culture,5.5 Services,5 Intensive uses,15,"Urban intensive uses (5.3, 5.4, 5.4.1, 5.5, 5.6, 5.7)",0,Not a topographic feature,553,5.5.3 Recreation and culture,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,2,Native woodland,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
31,865,553,5.5.3,5.5.3 Recreation and culture,5.5 Services,5 Intensive uses,15,"Urban intensive uses (5.3, 5.4, 5.4.1, 5.5, 5.6, 5.7)",0,Not a topographic feature,553,5.5.3 Recreation and culture,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,2,Modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
32,2,661,6.6.1,6.6.1 Estuary/coastal waters - conservation,6.6 Estuary/coastal waters,6 Water,17,Water (6.0),7,Saline coastal flat,660,6.6.0 Estuary/coastal waters,0,Not a protected area,0,IUCN management category unassigned or not a WHA,10,Public land - other,4,Native closed forest,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
33,1,651,6.5.1,6.5.1 Marsh/wetland - conservation,6.5 Marsh/wetland,6 Water,17,Water (6.0),5,Swamp,133,1.3.3 Residual native cover,0,Not a protected area,0,IUCN management category unassigned or not a WHA,10,Public land - other,4,Native closed forest,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
34,510,113,1.1.3,1.1.3 National park,1.1 Nature conservation,1 Conservation and natural environments,1,Nature conservation (1.1),0,Not a topographic feature,130,1.3.0 Other minimal use,20,II. National park,0,IUCN management category unassigned or not a WHA,4,Nature conservation areas,2,Native woodland,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
35,724,133,1.3.3,1.3.3 Residual native cover,1.3 Other minimal use,1 Conservation and natural environments,3,Other minimal use (1.3),0,Not a topographic feature,130,1.3.0 Other minimal use,0,Not a protected area,0,IUCN management category unassigned or not a WHA,10,Public land - other,3,Native open forest,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
36,9,133,1.3.3,1.3.3 Residual native cover,1.3 Other minimal use,1 Conservation and natural environments,3,Other minimal use (1.3),0,Not a topographic feature,651,6.5.1 Marsh/wetland - conservation,0,Not a protected area,0,IUCN management category unassigned or not a WHA,10,Public land - other,4,Native closed forest,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
37,7,553,5.5.3,5.5.3 Recreation and culture,5.5 Services,5 Intensive uses,15,"Urban intensive uses (5.3, 5.4, 5.4.1, 5.5, 5.6, 5.7)",0,Not a topographic feature,553,5.5.3 Recreation and culture,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,4,Native closed forest,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
39,933,113,1.1.3,1.1.3 National park,1.1 Nature conservation,1 Conservation and natural environments,1,Nature conservation (1.1),0,Not a topographic feature,130,1.3.0 Other minimal use,20,II. National park,0,IUCN management category unassigned or not a WHA,4,Nature conservation areas,0,Non-forest or no data,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
40,2,117,1.1.7,1.1.7 Other conserved area,1.1 Nature conservation,1 Conservation and natural environments,1,Nature conservation (1.1),0,Not a topographic feature,125,1.2.5 Traditional indigenous uses,0,Not a protected area,1,WHA managed as one or more of IUCN categories Ia to V,9,Aboriginal land - traditional indigenous uses,0,Non-forest or no data,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
41,2,117,1.1.7,1.1.7 Other conserved area,1.1 Nature conservation,1 Conservation and natural environments,1,Nature conservation (1.1),0,Not a topographic feature,125,1.2.5 Traditional indigenous uses,0,Not a protected area,1,WHA managed as one or more of IUCN categories Ia to V,9,Aboriginal land - traditional indigenous uses,2,Native woodland,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
42,24,0,ND,No data,No data,No data,0,No data,0,Not a topographic feature,133,1.3.3 Residual native cover,0,Not a protected area,0,IUCN management category unassigned or not a WHA,0,"Ocean, estuary with no tenure; no data",0,Non-forest or no data,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
43,540,133,1.3.3,1.3.3 Residual native cover,1.3 Other minimal use,1 Conservation and natural environments,3,Other minimal use (1.3),0,Not a topographic feature,651,6.5.1 Marsh/wetland - conservation,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,4,Native closed forest,1,No modification of native vegetation,0,Unallocated agricultural land,0,"Dryland agriculture, not ag. or no data"
44,1599,133,1.3.3,1.3.3 Residual native cover,1.3 Other minimal use,1 Conservation and natural environments,3,Other minimal use (1.3),0,Not a topographic feature,130,1.3.0 Other minimal use,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,3,Native open forest,1,No modification of native vegetation,0,Unallocated agricultural land,0,"Dryland agriculture, not ag. or no data"
45,92,125,1.2.5,1.2.5 Traditional indigenous uses,1.2 Managed resource protection,1 Conservation and natural environments,2,Other protected areas including indigenous uses (1.2),0,Not a topographic feature,651,6.5.1 Marsh/wetland - conservation,0,Not a protected area,0,IUCN management category unassigned or not a WHA,9,Aboriginal land - traditional indigenous uses,4,Native closed forest,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
46,1,117,1.1.7,1.1.7 Other conserved area,1.1 Nature conservation,1 Conservation and natural environments,1,Nature conservation (1.1),0,Not a topographic feature,651,6.5.1 Marsh/wetland - conservation,60,VI. Managed resource protected areas,1,WHA managed as one or more of IUCN categories Ia to V,4,Nature conservation areas,0,Non-forest or no data,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
47,191,651,6.5.1,6.5.1 Marsh/wetland - conservation,6.5 Marsh/wetland,6 Water,17,Water (6.0),5,Swamp,125,1.2.5 Traditional indigenous uses,0,Not a protected area,0,IUCN management category unassigned or not a WHA,9,Aboriginal land - traditional indigenous uses,2,Native woodland,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
48,4117,660,6.6.0,6.6.0 Estuary/coastal waters,6.6 Estuary/coastal waters,6 Water,17,Water (6.0),7,Saline coastal flat,650,6.5.0 Marsh/wetland,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
49,138,120,1.2.0,1.2.0 Managed resource protection,1.2 Managed resource protection,1 Conservation and natural environments,2,Other protected areas including indigenous uses (1.2),0,Not a topographic feature,651,6.5.1 Marsh/wetland - conservation,60,VI. Managed resource protected areas,0,IUCN management category unassigned or not a WHA,4,Nature conservation areas,4,Native closed forest,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
50,2209,661,6.6.1,6.6.1 Estuary/coastal waters - conservation,6.6 Estuary/coastal waters,6 Water,17,Water (6.0),7,Saline coastal flat,125,1.2.5 Traditional indigenous uses,0,Not a protected area,0,IUCN management category unassigned or not a WHA,9,Aboriginal land - traditional indigenous uses,0,Non-forest or no data,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
51,92,133,1.3.3,1.3.3 Residual native cover,1.3 Other minimal use,1 Conservation and natural environments,3,Other minimal use (1.3),0,Not a topographic feature,651,6.5.1 Marsh/wetland - conservation,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,3,Native open forest,1,No modification of native vegetation,0,Unallocated agricultural land,0,"Dryland agriculture, not ag. or no data"
52,16,117,1.1.7,1.1.7 Other conserved area,1.1 Nature conservation,1 Conservation and natural environments,1,Nature conservation (1.1),0,Not a topographic feature,651,6.5.1 Marsh/wetland - conservation,60,VI. Managed resource protected areas,1,WHA managed as one or more of IUCN categories Ia to V,4,Nature conservation areas,4,Native closed forest,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
53,87,553,5.5.3,5.5.3 Recreation and culture,5.5 Services,5 Intensive uses,15,"Urban intensive uses (5.3, 5.4, 5.4.1, 5.5, 5.6, 5.7)",0,Not a topographic feature,553,5.5.3 Recreation and culture,0,Not a protected area,0,IUCN management category unassigned or not a WHA,10,Public land - other,0,Non-forest or no data,2,Modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
54,99,631,6.3.1,6.3.1 River - conservation,6.3 River,6 Water,17,Water (6.0),3,Watercourse - perennial,630,6.3.0 River,60,VI. Managed resource protected areas,1,WHA managed as one or more of IUCN categories Ia to V,4,Nature conservation areas,0,Non-forest or no data,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
56,22,117,1.1.7,1.1.7 Other conserved area,1.1 Nature conservation,1 Conservation and natural environments,1,Nature conservation (1.1),0,Not a topographic feature,130,1.3.0 Other minimal use,0,Not a protected area,1,WHA managed as one or more of IUCN categories Ia to V,10,Public land - other,2,Native woodland,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
57,35,553,5.5.3,5.5.3 Recreation and culture,5.5 Services,5 Intensive uses,15,"Urban intensive uses (5.3, 5.4, 5.4.1, 5.5, 5.6, 5.7)",0,Not a topographic feature,553,5.5.3 Recreation and culture,0,Not a protected area,0,IUCN management category unassigned or not a WHA,10,Public land - other,2,Native woodland,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
58,447,651,6.5.1,6.5.1 Marsh/wetland - conservation,6.5 Marsh/wetland,6 Water,17,Water (6.0),5,Swamp,125,1.2.5 Traditional indigenous uses,0,Not a protected area,0,IUCN management category unassigned or not a WHA,9,Aboriginal land - traditional indigenous uses,0,Non-forest or no data,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
59,12,631,6.3.1,6.3.1 River - conservation,6.3 River,6 Water,17,Water (6.0),3,Watercourse - perennial,630,6.3.0 River,0,Not a protected area,1,WHA managed as one or more of IUCN categories Ia to V,4,Nature conservation areas,0,Non-forest or no data,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
60,7,117,1.1.7,1.1.7 Other conserved area,1.1 Nature conservation,1 Conservation and natural environments,1,Nature conservation (1.1),0,Not a topographic feature,630,6.3.0 River,60,VI. Managed resource protected areas,1,WHA managed as one or more of IUCN categories Ia to V,4,Nature conservation areas,0,Non-forest or no data,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
61,2,117,1.1.7,1.1.7 Other conserved area,1.1 Nature conservation,1 Conservation and natural environments,1,Nature conservation (1.1),0,Not a topographic feature,130,1.3.0 Other minimal use,0,Not a protected area,1,WHA managed as one or more of IUCN categories Ia to V,10,Public land - other,3,Native open forest,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
62,30,553,5.5.3,5.5.3 Recreation and culture,5.5 Services,5 Intensive uses,15,"Urban intensive uses (5.3, 5.4, 5.4.1, 5.5, 5.6, 5.7)",0,Not a topographic feature,553,5.5.3 Recreation and culture,0,Not a protected area,0,IUCN management category unassigned or not a WHA,10,Public land - other,3,Native open forest,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
63,1,661,6.6.1,6.6.1 Estuary/coastal waters - conservation,6.6 Estuary/coastal waters,6 Water,17,Water (6.0),6,Marine swamp,553,5.5.3 Recreation and culture,0,Not a protected area,0,IUCN management category unassigned or not a WHA,10,Public land - other,0,Non-forest or no data,2,Modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
64,3,553,5.5.3,5.5.3 Recreation and culture,5.5 Services,5 Intensive uses,15,"Urban intensive uses (5.3, 5.4, 5.4.1, 5.5, 5.6, 5.7)",0,Not a topographic feature,553,5.5.3 Recreation and culture,0,Not a protected area,0,IUCN management category unassigned or not a WHA,10,Public land - other,4,Native closed forest,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
65,15,120,1.2.0,1.2.0 Managed resource protection,1.2 Managed resource protection,1 Conservation and natural environments,2,Other protected areas including indigenous uses (1.2),0,Not a topographic feature,630,6.3.0 River,60,VI. Managed resource protected areas,0,IUCN management category unassigned or not a WHA,4,Nature conservation areas,0,Non-forest or no data,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
66,2,117,1.1.7,1.1.7 Other conserved area,1.1 Nature conservation,1 Conservation and natural environments,1,Nature conservation (1.1),0,Not a topographic feature,130,1.3.0 Other minimal use,60,VI. Managed resource protected areas,1,WHA managed as one or more of IUCN categories Ia to V,6,Private land,0,Non-forest or no data,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
67,12,117,1.1.7,1.1.7 Other conserved area,1.1 Nature conservation,1 Conservation and natural environments,1,Nature conservation (1.1),0,Not a topographic feature,130,1.3.0 Other minimal use,0,Not a protected area,1,WHA managed as one or more of IUCN categories Ia to V,10,Public land - other,0,Non-forest or no data,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
68,1,631,6.3.1,6.3.1 River - conservation,6.3 River,6 Water,17,Water (6.0),3,Watercourse - perennial,651,6.5.1 Marsh/wetland - conservation,0,Not a protected area,0,IUCN management category unassigned or not a WHA,4,Nature conservation areas,4,Native closed forest,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
69,3560,113,1.1.3,1.1.3 National park,1.1 Nature conservation,1 Conservation and natural environments,1,Nature conservation (1.1),0,Not a topographic feature,113,1.1.3 National park,20,II. National park,0,IUCN management category unassigned or not a WHA,4,Nature conservation areas,4,Native closed forest,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
70,1,117,1.1.7,1.1.7 Other conserved area,1.1 Nature conservation,1 Conservation and natural environments,1,Nature conservation (1.1),0,Not a topographic feature,630,6.3.0 River,0,Not a protected area,1,WHA managed as one or more of IUCN categories Ia to V,9,Aboriginal land - traditional indigenous uses,4,Native closed forest,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
71,3,120,1.2.0,1.2.0 Managed resource protection,1.2 Managed resource protection,1 Conservation and natural environments,2,Other protected areas including indigenous uses (1.2),0,Not a topographic feature,113,1.1.3 National park,60,VI. Managed resource protected areas,0,IUCN management category unassigned or not a WHA,4,Nature conservation areas,4,Native closed forest,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
72,51529,113,1.1.3,1.1.3 National park,1.1 Nature conservation,1 Conservation and natural environments,1,Nature conservation (1.1),0,Not a topographic feature,113,1.1.3 National park,20,II. National park,0,IUCN management category unassigned or not a WHA,4,Nature conservation areas,2,Native woodland,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
73,1,661,6.6.1,6.6.1 Estuary/coastal waters - conservation,6.6 Estuary/coastal waters,6 Water,17,Water (6.0),7,Saline coastal flat,651,6.5.1 Marsh/wetland - conservation,60,VI. Managed resource protected areas,0,IUCN management category unassigned or not a WHA,4,Nature conservation areas,2,Native woodland,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
